DATE,VALUE
2010-01-04,2308.42
2010-01-05,2308.71
2010-01-06,2301.09
2010-01-07,2300.05
2010-01-08,2317.17
2010-01-11,2312.41
2010-01-12,2282.31
2010-01-13,2307.90
2010-01-14,2316.74
2010-01-15,2287.99
2010-01-18,.
2010-01-19,2320.40
2010-01-20,2291.25
2010-01-21,2265.70
2010-01-22,2205.29
2010-01-25,2210.80
2010-01-26,2203.73
2010-01-27,2221.41
2010-01-28,2179.00
2010-01-29,2147.35
2010-02-01,2171.20
2010-02-02,2190.06
2010-02-03,2190.91
2010-02-04,2125.43
2010-02-05,2141.12
2010-02-08,2126.05
2010-02-09,2150.87
2010-02-10,2147.87
2010-02-11,2177.41
2010-02-12,2183.53
2010-02-15,.
2010-02-16,2214.19
2010-02-17,2226.29
2010-02-18,2241.71
2010-02-19,2243.87
2010-02-22,2242.03
2010-02-23,2213.44
2010-02-24,2235.90
2010-02-25,2234.22
2010-02-26,2238.26
2010-03-01,2273.57
2010-03-02,2280.79
2010-03-03,2280.68
2010-03-04,2292.31
2010-03-05,2326.35
2010-03-08,2332.21
2010-03-09,2340.68
2010-03-10,2358.95
2010-03-11,2368.46
2010-03-12,2367.66
2010-03-15,2362.21
2010-03-16,2378.01
2010-03-17,2389.09
2010-03-18,2391.28
2010-03-19,2374.41
2010-03-22,2395.40
2010-03-23,2415.24
2010-03-24,2398.76
2010-03-25,2397.41
2010-03-26,2395.13
2010-03-29,2404.36
2010-03-30,2410.69
2010-03-31,2397.96
2010-04-01,2402.58
2010-04-02,.
2010-04-05,2429.53
2010-04-06,2436.81
2010-04-07,2431.16
2010-04-08,2436.81
2010-04-09,2454.05
2010-04-12,2457.87
2010-04-13,2465.99
2010-04-14,2504.86
2010-04-15,2515.69
2010-04-16,2481.26
2010-04-19,2480.11
2010-04-20,2500.31
2010-04-21,2504.61
2010-04-22,2519.07
2010-04-23,2530.15
2010-04-26,2522.95
2010-04-27,2471.47
2010-04-28,2471.73
2010-04-29,2511.92
2010-04-30,2461.19
2010-05-03,2498.74
2010-05-04,2424.25
2010-05-05,2402.29
2010-05-06,2319.64
2010-05-07,2265.64
2010-05-10,2374.67
2010-05-11,2375.31
2010-05-12,2425.02
2010-05-13,2394.36
2010-05-14,2346.85
2010-05-17,2354.23
2010-05-18,2317.26
2010-05-19,2298.37
2010-05-20,2204.01
2010-05-21,2229.04
2010-05-24,2213.55
2010-05-25,2210.95
2010-05-26,2195.88
2010-05-27,2277.68
2010-05-28,2257.04
2010-05-31,.
2010-06-01,2222.33
2010-06-02,2281.07
2010-06-03,2303.03
2010-06-04,2219.17
2010-06-07,2173.90
2010-06-08,2170.57
2010-06-09,2158.85
2010-06-10,2218.71
2010-06-11,2243.60
2010-06-14,2243.96
2010-06-15,2305.88
2010-06-16,2305.93
2010-06-17,2307.16
2010-06-18,2309.80
2010-06-21,2289.09
2010-06-22,2261.80
2010-06-23,2254.23
2010-06-24,2217.42
2010-06-25,2223.48
2010-06-28,2220.65
2010-06-29,2135.18
2010-06-30,2109.24
2010-07-01,2101.36
2010-07-02,2091.79
2010-07-05,.
2010-07-06,2093.88
2010-07-07,2159.47
2010-07-08,2175.40
2010-07-09,2196.45
2010-07-12,2198.36
2010-07-13,2242.03
2010-07-14,2249.84
2010-07-15,2249.08
2010-07-16,2179.05
2010-07-19,2198.23
2010-07-20,2222.49
2010-07-21,2187.33
2010-07-22,2245.89
2010-07-23,2269.47
2010-07-26,2296.43
2010-07-27,2288.25
2010-07-28,2264.56
2010-07-29,2251.69
2010-07-30,2254.70
2010-08-02,2295.36
2010-08-03,2283.52
2010-08-04,2303.57
2010-08-05,2293.06
2010-08-06,2288.47
2010-08-09,2305.69
2010-08-10,2277.17
2010-08-11,2208.63
2010-08-12,2190.27
2010-08-13,2173.48
2010-08-16,2181.87
2010-08-17,2209.44
2010-08-18,2215.70
2010-08-19,2178.95
2010-08-20,2179.76
2010-08-23,2159.63
2010-08-24,2123.76
2010-08-25,2141.54
2010-08-26,2118.69
2010-08-27,2153.63
2010-08-30,2119.97
2010-08-31,2114.03
2010-09-01,2176.84
2010-09-02,2200.01
2010-09-03,2233.75
2010-09-06,.
2010-09-07,2208.89
2010-09-08,2228.87
2010-09-09,2236.20
2010-09-10,2242.48
2010-09-13,2285.71
2010-09-14,2289.77
2010-09-15,2301.32
2010-09-16,2303.25
2010-09-17,2315.61
2010-09-20,2355.83
2010-09-21,2349.35
2010-09-22,2334.55
2010-09-23,2327.08
2010-09-24,2381.22
2010-09-27,2369.77
2010-09-28,2379.59
2010-09-29,2376.56
2010-09-30,2368.62
2010-10-01,2370.75
2010-10-04,2344.52
2010-10-05,2399.83
2010-10-06,2380.66
2010-10-07,2383.67
2010-10-08,2401.91
2010-10-11,2402.33
2010-10-12,2417.92
2010-10-13,2441.23
2010-10-14,2435.38
2010-10-15,2468.77
2010-10-18,2480.66
2010-10-19,2436.95
2010-10-20,2457.39
2010-10-21,2459.67
2010-10-22,2479.39
2010-10-25,2490.85
2010-10-26,2497.29
2010-10-27,2503.26
2010-10-28,2507.37
2010-10-29,2507.41
2010-11-01,2504.84
2010-11-02,2533.52
2010-11-03,2540.27
2010-11-04,2577.34
2010-11-05,2578.98
2010-11-08,2580.05
2010-11-09,2562.98
2010-11-10,2578.78
2010-11-11,2555.52
2010-11-12,2518.21
2010-11-15,2513.82
2010-11-16,2469.84
2010-11-17,2476.01
2010-11-18,2514.40
2010-11-19,2518.12
2010-11-22,2532.02
2010-11-23,2494.95
2010-11-24,2543.12
2010-11-25,.
2010-11-26,2534.56
2010-11-29,2525.22
2010-11-30,2498.23
2010-12-01,2549.43
2010-12-02,2579.35
2010-12-03,2591.46
2010-12-06,2594.92
2010-12-07,2598.49
2010-12-08,2609.16
2010-12-09,2616.67
2010-12-10,2637.54
2010-12-13,2624.91
2010-12-14,2627.72
2010-12-15,2617.22
2010-12-16,2637.31
2010-12-17,2642.97
2010-12-20,2649.56
2010-12-21,2667.61
2010-12-22,2671.48
2010-12-23,2665.60
2010-12-24,.
2010-12-27,2667.27
2010-12-28,2662.88
2010-12-29,2666.93
2010-12-30,2662.98
2010-12-31,2652.87
2011-01-03,2691.52
2011-01-04,2681.25
2011-01-05,2702.20
2011-01-06,2709.89
2011-01-07,2703.17
2011-01-10,2707.80
2011-01-11,2716.83
2011-01-12,2737.33
2011-01-13,2735.29
2011-01-14,2755.30
2011-01-17,.
2011-01-18,2765.85
2011-01-19,2725.36
2011-01-20,2704.29
2011-01-21,2689.54
2011-01-24,2717.55
2011-01-25,2719.25
2011-01-26,2739.50
2011-01-27,2755.28
2011-01-28,2686.89
2011-01-31,2700.08
2011-02-01,2751.19
2011-02-02,2749.56
2011-02-03,2753.88
2011-02-04,2769.30
2011-02-07,2783.99
2011-02-08,2797.05
2011-02-09,2789.07
2011-02-10,2790.45
2011-02-11,2809.44
2011-02-14,2817.18
2011-02-15,2804.35
2011-02-16,2825.56
2011-02-17,2831.58
2011-02-18,2833.95
2011-02-21,.
2011-02-22,2756.42
2011-02-23,2722.99
2011-02-24,2737.90
2011-02-25,2781.05
2011-02-28,2782.27
2011-03-01,2737.41
2011-03-02,2748.07
2011-03-03,2798.74
2011-03-04,2784.67
2011-03-07,2745.63
2011-03-08,2765.77
2011-03-09,2751.72
2011-03-10,2701.02
2011-03-11,2715.61
2011-03-14,2700.97
2011-03-15,2667.33
2011-03-16,2616.82
2011-03-17,2636.05
2011-03-18,2643.67
2011-03-21,2692.09
2011-03-22,2683.87
2011-03-23,2698.30
2011-03-24,2736.42
2011-03-25,2743.06
2011-03-28,2730.68
2011-03-29,2756.89
2011-03-30,2776.79
2011-03-31,2781.07
2011-04-01,2789.60
2011-04-04,2789.19
2011-04-05,2791.19
2011-04-06,2799.82
2011-04-07,2796.14
2011-04-08,2780.42
2011-04-11,2771.51
2011-04-12,2744.79
2011-04-13,2761.52
2011-04-14,2760.22
2011-04-15,2764.65
2011-04-18,2735.38
2011-04-19,2744.97
2011-04-20,2802.51
2011-04-21,2820.16
2011-04-22,.
2011-04-25,2825.88
2011-04-26,2847.54
2011-04-27,2869.88
2011-04-28,2872.53
2011-04-29,2873.54
2011-05-02,2864.08
2011-05-03,2841.62
2011-05-04,2828.23
2011-05-05,2814.72
2011-05-06,2827.56
2011-05-09,2843.25
2011-05-10,2871.89
2011-05-11,2845.06
2011-05-12,2863.04
2011-05-13,2828.47
2011-05-16,2782.31
2011-05-17,2783.21
2011-05-18,2815.00
2011-05-19,2823.31
2011-05-20,2803.32
2011-05-23,2758.90
2011-05-24,2746.16
2011-05-25,2761.38
2011-05-26,2782.92
2011-05-27,2796.86
2011-05-30,.
2011-05-31,2835.30
2011-06-01,2769.19
2011-06-02,2773.31
2011-06-03,2732.78
2011-06-06,2702.56
2011-06-07,2701.56
2011-06-08,2675.38
2011-06-09,2684.87
2011-06-10,2643.73
2011-06-13,2639.69
2011-06-14,2678.72
2011-06-15,2631.46
2011-06-16,2623.70
2011-06-17,2616.48
2011-06-20,2629.66
2011-06-21,2687.26
2011-06-22,2669.19
2011-06-23,2686.75
2011-06-24,2652.89
2011-06-27,2688.28
2011-06-28,2729.31
2011-06-29,2740.49
2011-06-30,2773.52
2011-07-01,2816.03
2011-07-04,.
2011-07-05,2825.77
2011-07-06,2834.02
2011-07-07,2872.66
2011-07-08,2859.81
2011-07-11,2802.62
2011-07-12,2781.91
2011-07-13,2796.92
2011-07-14,2762.67
2011-07-15,2789.80
2011-07-18,2765.11
2011-07-19,2826.52
2011-07-20,2814.23
2011-07-21,2834.43
2011-07-22,2858.83
2011-07-25,2842.80
2011-07-26,2839.96
2011-07-27,2764.79
2011-07-28,2766.25
2011-07-29,2756.38
2011-08-01,2744.61
2011-08-02,2669.24
2011-08-03,2693.07
2011-08-04,2556.39
2011-08-05,2532.41
2011-08-08,2357.69
2011-08-09,2482.52
2011-08-10,2381.05
2011-08-11,2492.68
2011-08-12,2507.98
2011-08-15,2555.20
2011-08-16,2523.45
2011-08-17,2511.48
2011-08-18,2380.43
2011-08-19,2341.84
2011-08-22,2345.38
2011-08-23,2446.06
2011-08-24,2467.69
2011-08-25,2419.63
2011-08-26,2479.85
2011-08-29,2562.11
2011-08-30,2576.11
2011-08-31,2579.46
2011-09-01,2546.04
2011-09-02,2480.33
2011-09-05,.
2011-09-06,2473.83
2011-09-07,2548.94
2011-09-08,2529.14
2011-09-09,2467.99
2011-09-12,2495.09
2011-09-13,2532.15
2011-09-14,2572.55
2011-09-15,2607.07
2011-09-16,2622.31
2011-09-19,2612.83
2011-09-20,2590.24
2011-09-21,2538.19
2011-09-22,2455.67
2011-09-23,2483.23
2011-09-26,2516.69
2011-09-27,2546.83
2011-09-28,2491.58
2011-09-29,2480.76
2011-09-30,2415.40
2011-10-03,2335.83
2011-10-04,2404.82
2011-10-05,2460.51
2011-10-06,2506.82
2011-10-07,2479.35
2011-10-10,2566.05
2011-10-11,2583.03
2011-10-12,2604.73
2011-10-13,2620.24
2011-10-14,2667.85
2011-10-17,2614.92
2011-10-18,2657.43
2011-10-19,2604.04
2011-10-20,2598.62
2011-10-21,2637.46
2011-10-24,2699.44
2011-10-25,2638.42
2011-10-26,2650.67
2011-10-27,2738.63
2011-10-28,2737.15
2011-10-31,2684.41
2011-11-01,2606.96
2011-11-02,2639.98
2011-11-03,2697.97
2011-11-04,2686.15
2011-11-07,2695.25
2011-11-08,2727.49
2011-11-09,2621.65
2011-11-10,2625.15
2011-11-11,2678.75
2011-11-14,2657.22
2011-11-15,2686.20
2011-11-16,2639.61
2011-11-17,2587.99
2011-11-18,2572.50
2011-11-21,2523.14
2011-11-22,2521.28
2011-11-23,2460.08
2011-11-24,.
2011-11-25,2441.51
2011-11-28,2527.34
2011-11-29,2515.51
2011-11-30,2620.34
2011-12-01,2626.20
2011-12-02,2626.93
2011-12-05,2655.76
2011-12-06,2649.56
2011-12-07,2649.21
2011-12-08,2596.38
2011-12-09,2646.85
2011-12-12,2612.26
2011-12-13,2579.27
2011-12-14,2539.31
2011-12-15,2541.01
2011-12-16,2555.33
2011-12-19,2523.14
2011-12-20,2603.73
2011-12-21,2577.97
2011-12-22,2599.45
2011-12-23,2618.64
2011-12-26,.
2011-12-27,2625.20
2011-12-28,2589.98
2011-12-29,2613.74
2011-12-30,2605.15
2012-01-02,.
2012-01-03,2648.72
2012-01-04,2648.36
2012-01-05,2669.86
2012-01-06,2674.22
2012-01-09,2676.56
2012-01-10,2702.50
2012-01-11,2710.76
2012-01-12,2724.70
2012-01-13,2710.67
2012-01-16,.
2012-01-17,2728.08
2012-01-18,2769.71
2012-01-19,2788.33
2012-01-20,2786.70
2012-01-23,2784.17
2012-01-24,2786.64
2012-01-25,2818.31
2012-01-26,2805.28
2012-01-27,2816.55
2012-01-30,2811.94
2012-01-31,2813.84
2012-02-01,2848.27
2012-02-02,2859.68
2012-02-03,2905.66
2012-02-06,2901.99
2012-02-07,2904.08
2012-02-08,2915.86
2012-02-09,2927.23
2012-02-10,2903.88
2012-02-13,2931.39
2012-02-14,2931.83
2012-02-15,2915.83
2012-02-16,2959.85
2012-02-17,2951.78
2012-02-20,.
2012-02-21,2948.57
2012-02-22,2933.17
2012-02-23,2956.98
2012-02-24,2963.75
2012-02-27,2966.16
2012-02-28,2986.76
2012-02-29,2966.89
2012-03-01,2988.97
2012-03-02,2976.19
2012-03-05,2950.48
2012-03-06,2910.32
2012-03-07,2935.69
2012-03-08,2970.42
2012-03-09,2988.34
2012-03-12,2983.66
2012-03-13,3039.88
2012-03-14,3040.73
2012-03-15,3056.37
2012-03-16,3055.26
2012-03-19,3078.32
2012-03-20,3074.15
2012-03-21,3075.32
2012-03-22,3063.32
2012-03-23,3067.92
2012-03-26,3122.57
2012-03-27,3120.35
2012-03-28,3104.96
2012-03-29,3095.36
2012-03-30,3091.57
2012-04-02,3119.70
2012-04-03,3113.57
2012-04-04,3068.09
2012-04-05,3080.50
2012-04-06,.
2012-04-09,3047.08
2012-04-10,2991.22
2012-04-11,3016.46
2012-04-12,3055.55
2012-04-13,3011.33
2012-04-16,2988.40
2012-04-17,3042.82
2012-04-18,3031.45
2012-04-19,3007.56
2012-04-20,3000.45
2012-04-23,2970.45
2012-04-24,2961.60
2012-04-25,3029.63
2012-04-26,3050.61
2012-04-27,3069.20
2012-04-30,3046.36
2012-05-01,3050.44
2012-05-02,3059.85
2012-05-03,3024.30
2012-05-04,2956.34
2012-05-07,2957.76
2012-05-08,2946.27
2012-05-09,2934.71
2012-05-10,2933.64
2012-05-11,2933.82
2012-05-14,2902.58
2012-05-15,2893.76
2012-05-16,2874.04
2012-05-17,2813.69
2012-05-18,2778.79
2012-05-21,2847.21
2012-05-22,2839.08
2012-05-23,2850.12
2012-05-24,2839.38
2012-05-25,2837.53
2012-05-28,.
2012-05-29,2870.99
2012-05-30,2837.36
2012-05-31,2827.34
2012-06-01,2747.48
2012-06-04,2760.01
2012-06-05,2778.11
2012-06-06,2844.72
2012-06-07,2831.02
2012-06-08,2858.42
2012-06-11,2809.73
2012-06-12,2843.07
2012-06-13,2818.61
2012-06-14,2836.33
2012-06-15,2872.80
2012-06-18,2895.33
2012-06-19,2929.76
2012-06-20,2930.45
2012-06-21,2859.09
2012-06-22,2892.42
2012-06-25,2836.17
2012-06-26,2854.06
2012-06-27,2875.32
2012-06-28,2849.49
2012-06-29,2935.06
2012-07-02,2951.24
2012-07-03,2976.09
2012-07-04,.
2012-07-05,2976.12
2012-07-06,2937.33
2012-07-09,2931.77
2012-07-10,2902.34
2012-07-11,2887.99
2012-07-12,2866.19
2012-07-13,2908.47
2012-07-16,2896.94
2012-07-17,2910.04
2012-07-18,2942.60
2012-07-19,2965.90
2012-07-20,2925.30
2012-07-23,2890.15
2012-07-24,2862.99
2012-07-25,2854.24
2012-07-26,2893.25
2012-07-27,2958.09
2012-07-30,2945.84
2012-07-31,2939.52
2012-08-01,2920.21
2012-08-02,2909.77
2012-08-03,2967.90
2012-08-06,2989.91
2012-08-07,3015.86
2012-08-08,3011.25
2012-08-09,3018.64
2012-08-10,3020.86
2012-08-13,3022.52
2012-08-14,3016.98
2012-08-15,3030.93
2012-08-16,3062.39
2012-08-17,3076.59
2012-08-20,3076.21
2012-08-21,3067.26
2012-08-22,3073.67
2012-08-23,3053.40
2012-08-24,3069.79
2012-08-27,3073.19
2012-08-28,3077.14
2012-08-29,3081.19
2012-08-30,3048.71
2012-08-31,3066.96
2012-09-03,.
2012-09-04,3075.06
2012-09-05,3069.27
2012-09-06,3135.81
2012-09-07,3136.42
2012-09-10,3104.02
2012-09-11,3104.53
2012-09-12,3114.31
2012-09-13,3155.83
2012-09-14,3183.95
2012-09-17,3178.67
2012-09-18,3177.80
2012-09-19,3182.62
2012-09-20,3175.96
2012-09-21,3179.96
2012-09-24,3160.78
2012-09-25,3117.73
2012-09-26,3093.70
2012-09-27,3136.60
2012-09-28,3116.23
2012-10-01,3113.53
2012-10-02,3120.04
2012-10-03,3135.23
2012-10-04,3149.46
2012-10-05,3136.19
2012-10-08,3112.35
2012-10-09,3065.02
2012-10-10,3051.78
2012-10-11,3049.41
2012-10-12,3044.11
2012-10-15,3064.18
2012-10-16,3101.17
2012-10-17,3104.12
2012-10-18,3072.87
2012-10-19,3005.62
2012-10-22,3016.96
2012-10-23,2990.46
2012-10-24,2981.70
2012-10-25,2986.12
2012-10-26,2987.95
2012-10-29,.
2012-10-30,.
2012-10-31,2977.23
2012-11-01,3020.06
2012-11-02,2982.13
2012-11-05,2999.66
2012-11-06,3011.93
2012-11-07,2937.29
2012-11-08,2895.58
2012-11-09,2904.87
2012-11-12,2904.26
2012-11-13,2883.89
2012-11-14,2846.81
2012-11-15,2836.94
2012-11-16,2853.13
2012-11-19,2916.07
2012-11-20,2916.68
2012-11-21,2926.55
2012-11-22,.
2012-11-23,2966.85
2012-11-26,2976.78
2012-11-27,2967.79
2012-11-28,2991.78
2012-11-29,3012.03
2012-11-30,3010.24
2012-12-03,3002.20
2012-12-04,2996.69
2012-12-05,2973.70
2012-12-06,2989.27
2012-12-07,2978.04
2012-12-10,2986.96
2012-12-11,3022.30
2012-12-12,3013.81
2012-12-13,2992.16
2012-12-14,2971.33
2012-12-17,3010.60
2012-12-18,3054.53
2012-12-19,3044.36
2012-12-20,3050.39
2012-12-21,3021.01
2012-12-24,3012.60
2012-12-25,.
2012-12-26,2990.16
2012-12-27,2985.91
2012-12-28,2960.31
